Open,Close,High,Low,Volume,Date
1472.45,1486.18,1486.26,1466.8,,01/08/20
1477.58,1472.49,1488.7,1470.51,,01/07/20
1505.31,1477.04,1505.54,1477.04,,01/06/20
1501.02,1505.4,1507.06,1493.05,,01/03/20
1494.35,1501.01,1503.4,1488.15,,01/02/20
1490.33,1494.27,1494.98,1485.43,,12/30/19
1489.74,1490.34,1492.18,1487.79,,12/27/19
1481.99,1489.67,1490.5,1481.65,,12/23/19
1498.36,1482.01,1500.77,1481.77,,12/20/19
1490.97,1498.36,1498.47,1485,,12/19/19
1483.27,1490.96,1491.3,1476.02,,12/18/19
1493.25,1483.25,1494.39,1477.13,,12/17/19
1491.46,1493.13,1496.9,1488.03,,12/16/19
1472.47,1492.82,1497.16,1471.7,,12/13/19
1450.35,1471.64,1474.85,1450.32,,12/12/19
1439.37,1449.53,1450.47,1432,,12/11/19
1442.97,1439.17,1448.39,1436.5,,12/10/19
1438.97,1443.74,1444.98,1430.94,,12/09/19
1441.06,1440.36,1441.17,1435.39,,12/06/19
1428.88,1441.01,1444.57,1427.11,,12/05/19
1404.66,1428.51,1429.88,1400.94,,12/04/19
1408.87,1403.84,1409.43,1399.41,,12/03/19
1396.24,1407.82,1409.52,1395.6,,12/02/19
1397.78,1396.91,1403.13,1391.64,,11/29/19
1392.95,1397.33,1399.83,1386.24,,11/28/19
1404.19,1393.02,1406.3,1391.48,,11/27/19
1408.39,1403.29,1408.39,1397.2,,11/26/19
1411.81,1409.96,1412.55,1406.83,,11/25/19
1400.49,1412.47,1413.62,1398.65,,11/22/19
1395.72,1402.98,1402.98,1390.32,,11/21/19
1391.84,1396.35,1396.82,1385.35,,11/20/19
1389.33,1390.22,1397.16,1387.15,,11/19/19
1380.93,1389.63,1391.03,1378.98,,11/18/19
1370.74,1381.09,1381.56,1365.98,,11/15/19
1372.08,1372.1,1373.58,1365.39,,11/14/19
1365.83,1370.65,1371.06,1359.82,,11/13/19
1357.3,1367.27,1369.14,1355.69,,11/12/19
1360.08,1357.46,1363.41,1353.29,,11/11/19
1366.79,1360.77,1371.56,1355.29,,11/08/19
1365.31,1366.5,1369.5,1362.19,,11/07/19
1363.04,1365.32,1367.35,1360.45,,11/06/19
1360.23,1364.4,1365.94,1357.84,,11/05/19
1348.64,1359.83,1360.72,1348.63,,11/04/19
1347.42,1348.45,1348.7,1347.18,,11/01/19
1356.43,1347.56,1358.92,1342.44,,10/31/19
1351.89,1356.45,1357.71,1350.04,,10/30/19
1348.2,1352.91,1354.73,1346.73,,10/29/19
1347.41,1348.02,1351.31,1344.88,,10/28/19
1357.11,1348.4,1357.17,1345.8,,10/25/19
1343.01,1356.82,1357.67,1341.24,,10/24/19
1343.27,1343.31,1344.03,1339.74,,10/23/19
1330.85,1344.21,1344.26,1330.72,,10/22/19
1318.72,1330.88,1331.19,1318.71,,10/21/19
1315.6,1318.98,1319.01,1310.33,,10/18/19
1305.67,1316.35,1316.35,1303.98,,10/17/19
1304.03,1304.68,1308.97,1298.99,,10/16/19
1303.16,1304.29,1306.06,1294.99,,10/15/19
1290.13,1303.18,1303.18,1284.91,,10/14/19
1276.29,1291.37,1291.68,1276.29,,10/11/19
1269.64,1275.28,1275.93,1267.32,,10/10/19
1269.82,1269.29,1274.48,1264.35,,10/09/19
1270.07,1270.04,1271.34,1264.47,,10/08/19
1270.12,1269.64,1272.15,1266.91,,10/07/19
1266.29,1270.51,1271.84,1266.29,,10/04/19
1258.07,1265.51,1268.79,1257.45,,10/03/19
1267.03,1256.85,1267.42,1256.73,,10/02/19
1273.13,1267.33,1278.29,1266.79,,10/01/19
1278.39,1273.62,1280.56,1270.63,,09/30/19
1270.39,1278.78,1279.13,1268.85,,09/27/19
1267.91,1271.07,1273.35,1267.18,,09/26/19
1276.88,1267.56,1276.89,1263.64,,09/25/19
1269.2,1276.57,1277.91,1266.87,,09/24/19
1276.58,1268.73,1278.72,1266.63,,09/23/19
1278.21,1275.75,1281.71,1273.3,,09/20/19
1283.76,1277.31,1283.9,1273.76,,09/19/19
1274.78,1283.85,1283.92,1272.19,,09/18/19
1278.27,1274.78,1278.29,1266.99,,09/17/19
1271.13,1279.23,1280.74,1267.52,,09/16/19
1265.1,1272.42,1273.23,1260.52,,09/13/19
1267.53,1265.45,1272.3,1263.6,,09/12/19
1261.63,1264.93,1266.27,1260.22,,09/11/19
1270.71,1260.88,1272.28,1258.83,,09/10/19
1274,1271.82,1275.92,1268.91,,09/09/19
1272.96,1273.44,1274.17,1267.6,,09/06/19
1269.39,1272.22,1274.42,1263.57,,09/05/19
1262.36,1269.58,1272.39,1261.88,,09/04/19
1269.53,1260.82,1270.27,1252.66,,09/03/19
1268.49,1270.27,1273.17,1267.77,,09/02/19
1256.59,1268.27,1269.88,1256.56,,08/30/19
1243.31,1256.81,1260.37,1242.65,,08/29/19
1252.33,1243.41,1253,1243.41,,08/28/19
1266.85,1252.45,1267.1,1251.24,,08/27/19
1268.05,1266.54,1268.08,1259.25,,08/26/19
1269.43,1268.56,1274.94,1262.48,,08/23/19
1273.44,1269.49,1277.02,1267.34,,08/22/19
1278.51,1273.5,1282.04,1272.39,,08/21/19
1275.95,1277.26,1280.94,1274.7,,08/20/19
1275.41,1275.77,1281.21,1274.66,,08/19/19
1284.06,1274.59,1289.51,1274.58,,08/16/19
1285.3,1284.19,1286.85,1279.15,,08/15/19
1300.03,1284.67,1301.3,1283.33,,08/14/19
1302.28,1300.15,1305.51,1291.16,,08/13/19
1302.18,1302.57,1308.11,1300.76,,08/12/19
1298.91,1301.78,1310.64,1298.91,,08/09/19
1297.65,1298.47,1303.62,1297.62,,08/08/19
1292.72,1297.16,1301.96,1291.49,,08/07/19
1291.85,1293.23,1303.31,1290.57,,08/06/19
1299.87,1291.64,1299.92,1291.01,,08/05/19
1301.39,1300.65,1304.77,1296.03,,08/02/19
